R2,dIB
0.008136829720634132,-7.616971716662611
0.008183827717944844,-7.592654587139687
0.008231097173775273,-7.568409450823696
0.00827863965605879,-7.544236100687161
0.008326456741785072,-7.520134330297866
0.008374550017052434,-7.496103933817137
0.008422921077120423,-7.472144705998153
0.00847157152646274,-7.448256442184229
0.008520502978820474,-7.424438938307123
0.008569717057255587,-7.400691990885351
0.008619215394204809,-7.377015397022484
0.008668999631533747,-7.3534089544054755
0.008719071420591362,-7.329872461302987
0.008769432422264732,-7.306405716563702
0.008820084307034157,-7.283008519614675
0.008871028755028572,-7.259680670459646
0.008922267456081236,-7.2364219696774175
0.00897380210978585,-7.213232218420153
0.009025634425552886,-7.190111218411767
0.0090777661226663,-7.167058771946259
0.009130198930340576,-7.144074681886087
0.009182934587778031,-7.121158751660536
0.009235974844226608,-7.0983107852640455
0.009289321459037771,-7.07553058725466
0.009342976201724962,-7.052817962752333
0.009396940852022254,-7.03017271743736
0.009451217199943391,-7.007594657548738
0.009505807045841173,-6.985083589882581
0.009560712200467121,-6.962639321790514
0.009615934485031659,-6.940261661178036
0.009671475731264374,-6.917950416502999
0.009727337781474893,-6.895705396773954
0.009783522488613933,-6.873526411548603
0.009840031716334782,-6.851413270932207
0.009896867339055124,-6.8293657855760115
0.00995403124201916,-6.80738376667569
0.010011525321360262,-6.7854670259697425
0.01006935148416371,-6.763615375737984
0.01012751164853008,-6.741828628799947
0.010186007743638809,-6.720106598513347
0.010244841709812194,-6.698449098772532
0.010304015498579747,-6.676855944006936
0.010363531072742942,-6.655326949179548
0.010423390406440325,-6.633861929785362
0.01048359548521296,-6.61246070184987
0.010544148306070337,-6.5911230819275115
0.010605050877556593,-6.569848887100166
0.01066630521981711,-6.548637934975641
0.010727913364665574,-6.527490043686139
0.010789877355651331,-6.506405031886773
0.010852199248127196,-6.485382718754042
0.010914881109317594,-6.46442292398435
0.01097792501838718,-6.4435254677924965
0.011041333066509772,-6.422690170910185
0.011105107356937713,-6.401916854584554
0.011169250005071654,-6.38120534057667
0.011233763138530722,-6.360555451160067
0.011298648897223065,-6.339967009119268
0.01136390943341687,-6.319439837748311
0.011429546911811734,-6.298973760849285
0.011495563509610476,-6.278568602730872
0.011561961416591326,-6.258224188206892
0.011628742835180615,-6.23794034259484
0.011695909980525785,-6.217716891714443
0.011763465080568868,-6.197553661886222
0.01183141037612042,-6.17745047993004
0.011899748120933815,-6.157407173163674
0.011968480581780024,-6.137423569401371
0.012037610038522774,-6.117499496952445
0.012107138784194216,-6.09763478461982
0.012177069125070956,-6.0778292616986365
0.012247403380750541,-6.058082757974825
0.012318143884228444,-6.0383951037236905
0.012389292981975417,-6.018766129708517
0.012460853034015321,-5.999195667179154
0.012532826414003427,-5.9796835478706125
0.012605215509305148,-5.960229604001681
0.01267802272107522,-5.940833668273534
0.012751250464337333,-5.921495573868336
0.01282490116806428,-5.9022151544478625
0.012898977275258496,-5.882992244152115
0.012973481243033083,-5.863826677597956
0.013048415542693346,-5.84471828987773
