T,$\sigma$,V
255.0,930.0,1022902539.5336221
255.0,945.0,1045464024.6726902
255.0,960.0,1067201201.9904062
255.0,975.0,1088138355.495212
255.0,990.0,1108299437.0337439
270.0,0.0,-3105738416.2815704
270.0,15.0,-3098958632.011711
270.0,30.0,-3078982170.921398
270.0,45.0,-3046640436.759094
270.0,60.0,-3002997911.203538
270.0,75.0,-2949240611.0938478
270.0,90.0,-2886605770.402673
270.0,105.0,-2816333633.5652986
270.0,120.0,-2739633611.197335
270.0,135.0,-2657660649.4653945
270.0,150.0,-2571499219.027931
270.0,165.0,-2482152654.3594875
270.0,180.0,-2390539346.485753
270.0,195.0,-2297487645.1748495
270.0,210.0,-2203738142.5154176
270.0,225.0,-2109945531.2816672
270.0,240.0,-2016682356.9574907
270.0,255.0,-1924443746.463605
270.0,270.0,-1833652760.7226326
270.0,285.0,-1744514644.9481027
270.0,300.0,-1656106975.7328792
270.0,315.0,-1568368725.3996425
270.0,330.0,-1481464018.1232316
270.0,345.0,-1395532332.9832733
270.0,360.0,-1310691822.7619035
270.0,375.0,-1227042207.2613175
270.0,390.0,-1144667279.916802
270.0,405.0,-1063637068.303431
270.0,420.0,-984009688.6081839
270.0,435.0,-905832932.7389791
270.0,450.0,-829145623.7150314
270.0,465.0,-753966648.6004293
270.0,480.0,-680344280.2288432
270.0,495.0,-608284746.8661034
270.0,510.0,-537800979.2932348
270.0,525.0,-468901257.0878892
270.0,540.0,-401589737.6466923
270.0,555.0,-335866912.8717632
270.0,570.0,-271730005.0933187
270.0,585.0,-209173312.3610506
270.0,600.0,-148202122.37265062
270.0,615.0,-88778708.21606946
270.0,630.0,-30903716.269530296
270.0,645.0,25437549.71266675
270.0,660.0,80261497.14689851
270.0,675.0,129302154.85197878
270.0,690.0,185430592.91600132
270.0,705.0,235815619.774889
270.0,720.0,284762805.25179434
270.0,735.0,332294777.6950898
270.0,750.0,378435024.31336784
270.0,765.0,423207783.7489972
270.0,780.0,466637945.7610662
270.0,795.0,508750957.6018224
270.0,810.0,549572736.2984257
270.0,825.0,589129586.6233149
270.0,840.0,627448124.3155918
270.0,855.0,664555204.2664982
270.0,870.0,700477853.356887
270.0,885.0,735243207.7712517
270.0,900.0,768878454.5832083
270.0,915.0,801410777.3086123
270.0,930.0,832867305.4150658
270.0,945.0,863275067.4757941
270.0,960.0,892660947.8876193
270.0,975.0,921051646.9979628
270.0,990.0,948473644.3512803
285.0,0.0,-4495297072.765856
285.0,15.0,-4486931527.607716
285.0,30.0,-4462213973.297337
285.0,45.0,-4422023981.993185
285.0,60.0,-4367505001.457582
285.0,75.0,-4299950905.26095
285.0,90.0,-4219576794.435772
285.0,105.0,-4131249388.3386474
285.0,120.0,-4032886371.245127
285.0,135.0,-3927036049.2068563
285.0,150.0,-3814900668.664195
285.0,165.0,-3697742116.3315167
285.0,180.0,-3576696517.2278466
285.0,195.0,-3452812607.1393633
285.0,210.0,-3327048943.1909857
285.0,225.0,-3200273434.290335
285.0,240.0,-3073264682.497824
285.0,255.0,-2946714710.508688
285.0,270.0,-2821232719.830811
285.0,285.0,-2697349583.2608294
285.0,300.0,-2575522826.8371515
285.0,315.0,-2456141900.5787463
285.0,330.0,-2339533576.067985
285.0,345.0,-2225967342.1414156
285.0,360.0,-2115660698.917055
285.0,375.0,-2008784274.2590218
285.0,390.0,-1905466707.864422
285.0,405.0,-1805799264.6387892
285.0,420.0,-1709532536.2334528
285.0,435.0,-1615050040.1872385
285.0,450.0,-1522157227.0382886
285.0,465.0,-1430900127.9206805
285.0,480.0,-1341316317.5377173
285.0,495.0,-1253435942.1563487
285.0,510.0,-1167282603.553756
285.0,525.0,-1082874110.8589287
285.0,540.0,-1000223171.8040621
285.0,555.0,-919337918.2499464
285.0,570.0,-840222389.7773507
285.0,585.0,-762877013.8634245
285.0,600.0,-687298939.5178654
285.0,615.0,-613482375.198174
285.0,630.0,-541418878.5244653
285.0,645.0,-471097613.7192519
285.0,660.0,-402505581.64202857
285.0,675.0,-335627826.64666533
285.0,690.0,-270447623.72061896
285.0,705.0,-206946648.8111801
285.0,720.0,-145105134.5677781
285.0,735.0,-84902013.67047358
285.0,750.0,-26315051.19364643
285.0,765.0,30679032.634629726
285.0,780.0,86104448.24615502
285.0,795.0,139986230.0236001
285.0,810.0,192350136.6011579
285.0,825.0,243222557.40443492
285.0,840.0,292630425.0027032
285.0,855.0,340601132.7377758
285.0,870.0,387162457.4497111
285.0,885.0,432342486.8616142
285.0,900.0,476169551.42543125
285.0,915.0,518672160.3451991
285.0,930.0,559878941.7175851
285.0,945.0,599818586.34776
285.0,960.0,638519795.3993828
285.0,975.0,676011231.4749815
285.0,990.0,712321473.0349439
300.0,0.0,-6419275795.3109045
300.0,15.0,-6409002592.734075
300.0,30.0,-6378578381.205277
300.0,45.0,-6328931353.489237
300.0,60.0,-6261284922.175696
300.0,75.0,-6177042706.19534
300.0,90.0,-6077713556.832682
300.0,105.0,-5964857696.216278
300.0,120.0,-5840046437.160128
300.0,135.0,-5704831571.014672
300.0,150.0,-5560722069.37939
300.0,165.0,-5409166534.177912
300.0,180.0,-5251540274.86226
300.0,195.0,-5089136163.115671
300.0,210.0,-4923158592.142567
300.0,225.0,-4754719990.527659
300.0,240.0,-4584839430.555155
300.0,255.0,-4414442939.933164
300.0,270.0,-4244365181.595549
300.0,285.0,-4075352213.049943
300.0,300.0,-3908065076.4687657
300.0,315.0,-3743084006.3396506
300.0,330.0,-3580913072.1132765
300.0,345.0,-3421985123.7769804
300.0,360.0,-3266666774.1737804
300.0,375.0,-3115263669.147144
300.0,390.0,-2968025460.7654133
300.0,405.0,-2825150807.796231
300.0,420.0,-2686792165.2911816
300.0,435.0,-2553060390.6549277
300.0,450.0,-2424029105.8165536
300.0,465.0,-2299738802.1451883
300.0,480.0,-2180200680.702629
300.0,495.0,-2065400221.0370088
300.0,510.0,-1955300478.677188
300.0,525.0,-1849845116.0541036
300.0,540.0,-1748923839.1736262
300.0,555.0,-1650831707.4261258
300.0,570.0,-1554688693.8566415
300.0,585.0,-1460502787.4390218
300.0,600.0,-1368277953.9664
300.0,615.0,-1278014537.7401397
300.0,630.0,-1189709615.1563818
300.0,645.0,-1103357307.2034786
300.0,660.0,-1018949057.1637645
300.0,675.0,-936473878.6023438
300.0,690.0,-855918578.0920663
300.0,705.0,-777267956.2918396
300.0,720.0,-700504990.4983218
300.0,735.0,-625611001.3907585
300.0,750.0,-552565805.8443909
300.0,765.0,-481347857.97318125
300.0,780.0,-411934379.4627869
300.0,795.0,-344301480.9137709
300.0,810.0,-278424274.8631251
300.0,825.0,-214276981.5058956
300.0,840.0,-151833027.75777745
