T,$\sigma$,V
225.0,420.0,383852233.9983032
225.0,435.0,423999971.0168711
225.0,450.0,463045247.76005566
225.0,465.0,500987346.3056812
225.0,480.0,537828821.9662312
225.0,495.0,573575093.5793002
225.0,510.0,608234092.808803
225.0,525.0,641815961.1195072
225.0,540.0,674332785.3957871
225.0,555.0,705798364.9884267
225.0,570.0,736228004.5620468
225.0,585.0,765638328.3029178
225.0,600.0,794047112.1018226
225.0,615.0,821473083.1622409
225.0,630.0,847935972.1772225
225.0,645.0,873456096.2050797
225.0,660.0,898054434.292738
225.0,675.0,921752470.0651263
225.0,690.0,944572091.2723849
225.0,705.0,966535496.9725094
225.0,720.0,987665111.9298846
225.0,735.0,1007983507.6215839
225.0,750.0,1027513329.5787148
225.0,765.0,1046277230.6519597
225.0,780.0,1064297809.8939075
225.0,795.0,1081597556.7939568
225.0,810.0,1098198800.5568018
225.0,825.0,1114123664.150735
225.0,840.0,1129394022.9233525
225.0,855.0,1144031467.4758375
225.0,870.0,1158057270.585546
225.0,885.0,1171492357.9510226
225.0,900.0,1184357282.509329
225.0,915.0,1196672202.0929174
225.0,930.0,1208456860.2484875
225.0,945.0,1219730569.957702
225.0,960.0,1230512200.100993
225.0,975.0,1240820164.4341295
225.0,990.0,1250672412.9087272
240.0,0.0,-1380776877.9729242
240.0,15.0,-1376023414.7010431
240.0,30.0,-1362086689.0526557
240.0,45.0,-1339682034.9463208
240.0,60.0,-1309685733.5623024
240.0,75.0,-1273030917.2904363
240.0,90.0,-1230646880.1765728
240.0,105.0,-1183422017.2982447
240.0,120.0,-1132181862.825432
240.0,135.0,-1077677541.9565666
240.0,150.0,-1020581229.6288555
240.0,165.0,-961486491.8797917
240.0,180.0,-900911772.4107599
240.0,195.0,-839305798.4796076
240.0,210.0,-777054004.8284252
240.0,225.0,-714485335.9659665
240.0,240.0,-651878989.8827906
240.0,255.0,-589470820.9613049
240.0,270.0,-527459235.4784589
240.0,300.0,-405263411.6787183
240.0,315.0,-345333421.7243836
240.0,330.0,-286316119.70985293
240.0,345.0,-228290259.3841014
240.0,360.0,-171320304.78318095
240.0,375.0,-115458580.10605264
240.0,390.0,-60747075.04821181
240.0,405.0,-7218956.562058449
240.0,420.0,45100167.07024026
240.0,435.0,96191189.4157536
240.0,450.0,146040621.36918592
240.0,465.0,194639889.25659728
240.0,480.0,241984549.58009076
240.0,495.0,288074000.7930739
240.0,510.0,332910873.1032603
240.0,525.0,376500682.7448163
240.0,540.0,418851498.8455088
240.0,555.0,459973653.12288094
240.0,570.0,499879484.9700428
240.0,585.0,538583115.4430386
240.0,600.0,576100245.4452026
240.0,615.0,612447973.8914381
240.0,630.0,647644632.949435
240.0,645.0,681709637.6106026
240.0,660.0,714663347.8943009
240.0,675.0,746526941.814306
240.0,690.0,777322298.1226187
240.0,705.0,807071887.7322863
240.0,720.0,835798672.9417913
240.0,735.0,863526014.002206
240.0,750.0,890277582.360314
240.0,765.0,916077280.143716
240.0,780.0,940949165.6238371
240.0,795.0,964917384.1415507
240.0,810.0,988006104.3912616
240.0,825.0,1010239459.6665614
240.0,840.0,1031641493.9297304
240.0,855.0,1052236112.3107316
240.0,870.0,1072047036.0138841
240.0,885.0,1091097761.283325
240.0,900.0,1109411522.2218049
240.0,915.0,1127011257.3639302
240.0,930.0,1143919579.671199
240.0,945.0,1160158749.8905168
240.0,960.0,1175750652.9559684
240.0,975.0,1190716777.345787
240.0,990.0,1205074656.015755
255.0,0.0,-2113796947.135407
255.0,15.0,-2108329731.6499176
255.0,30.0,-2092274914.7679465
255.0,45.0,-2066416204.6257944
255.0,60.0,-2031740197.037141
255.0,75.0,-1989327143.6841908
255.0,90.0,-1940283680.2526927
255.0,105.0,-1885671246.6282852
255.0,120.0,-1826214334.7649097
255.0,135.0,-1762685238.5294335
255.0,150.0,-1695840334.1572282
255.0,165.0,-1626356651.3099926
255.0,180.0,-1554833694.6578
255.0,195.0,-1481797558.7813833
255.0,210.0,-1407706423.7775273
255.0,225.0,-1332956758.2841604
255.0,240.0,-1257889747.39076
255.0,255.0,-1182797611.9893281
255.0,270.0,-1107929601.3803117
255.0,285.0,-1033497528.084317
255.0,300.0,-959680778.0554364
255.0,315.0,-886630774.3902545
255.0,330.0,-814474673.2753794
255.0,345.0,-743319705.9798048
255.0,360.0,-673254747.6110408
255.0,375.0,-604353770.1269605
255.0,390.0,-536677772.15116024
255.0,405.0,-470276613.8624263
255.0,420.0,-405190571.08530736
255.0,435.0,-341451649.3688848
255.0,450.0,-279084694.04302096
255.0,465.0,-218108328.27031374
255.0,480.0,-158535746.9126675
255.0,495.0,-100375389.81478167
255.0,510.0,-43631515.00185704
255.0,525.0,11695311.330744982
255.0,540.0,65607793.543455124
255.0,555.0,118111542.16226673
255.0,570.0,169214756.5176413
255.0,585.0,218927946.37781024
255.0,600.0,267263685.72194552
255.0,615.0,314236393.5304866
255.0,630.0,359862136.9241102
255.0,645.0,404158453.37601686
255.0,660.0,447144188.9118693
255.0,675.0,488839350.0860567
255.0,690.0,529264967.89494264
255.0,705.0,568442972.1691366
255.0,720.0,606396075.1027509
255.0,735.0,643147663.1793838
255.0,750.0,678721696.5255383
255.0,765.0,713142615.2099729
255.0,780.0,746436491.3949001
255.0,795.0,778626233.1466676
255.0,810.0,809574688.3611888
255.0,825.0,839797987.1678896
255.0,840.0,868828958.8371831
255.0,855.0,896861012.4877422
255.0,870.0,923917832.9387547
255.0,885.0,950025010.3970797
255.0,900.0,975208016.0501543
255.0,915.0,999492157.7399559
