m2Sig,m2Eta,m2X,fPI,m2,c,lambda_sigma,lambda_a,Tc,Tn,Alpha,Beta,Message,vwLTE,kappaLTE,vwLN,kappaLN
1000000.0,1000000.0,25000000.0,1000.0,0.0,16000000.0,1.0,24.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,25000000.0,1400.0,0.0,16000000.0,0.5102040816326531,12.244897959183673,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,25000000.0,1800.0,0.0,16000000.0,0.30864197530864196,7.407407407407407,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,25000000.0,2200.0,0.0,16000000.0,0.2066115702479339,4.958677685950414,704.7921021785144,618.8510964435733,0.009788103269134606,1551.422151925726,0.0,0.5350526642722447,0.43080169830085585,0.3809772828207295,0.5079339778562796
1000000.0,1000000.0,25000000.0,2600.0,0.0,16000000.0,0.14792899408284024,3.5502958579881656,743.945747451549,642.028826099961,0.007371020364935462,1488.9626074867356,0.0,0.5554012145791196,0.46522932716682824,0.40979001866718406,0.5470044355266319
1000000.0,1000000.0,25000000.0,3000.0,0.0,16000000.0,0.1111111111111111,2.6666666666666665,780.8429369221523,663.4316698323506,0.004197216353480315,1343.9448284491432,0.0,0.5723335071509453,0.49336014804428446,0.4346041480296578,0.5786986684278107
1000000.0,5800000.0,1000000.0,1000.0,-2400000.0,92800000.0,1.0,-4.8,859.3488522945553,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,1000000.0,1400.0,-2400000.0,92800000.0,0.5102040816326531,-2.4489795918367347,1249.036235741399,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,1000000.0,1800.0,-2400000.0,92800000.0,0.30864197530864196,-1.4814814814814814,1690.290690498024,1658.2900865705908,0.005538895073454503,8349.086004798608,1.0,0.508628406340389,0.07233552310381823,0.128130737907731,0.11555875501242036
1000000.0,5800000.0,1000000.0,2200.0,-2400000.0,92800000.0,0.2066115702479339,-0.9917355371900827,2110.331010300158,2058.6603922172935,0.00469150114004783,6755.193148412279,1.0,0.5306672519405585,0.09038832845485373,0.1480515538574945,0.14438306155106032
1000000.0,5800000.0,1000000.0,2600.0,-2400000.0,92800000.0,0.14792899408284024,-0.7100591715976331,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,1000000.0,3000.0,-2400000.0,92800000.0,0.1111111111111111,-0.5333333333333333,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,5800000.0,1000.0,-2400000.0,92800000.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
