m2Sig,m2Eta,m2X,fPI,m2,c,lambda_sigma,lambda_a,Tc,Tn,Alpha,Beta,Message,vwLTE,kappaLTE,vwLN,kappaLN
1000000.0,1000000.0,15399999.999999998,1400.0,0.0,16000000.0,0.5102040816326531,7.346938775510203,593.0861226958449,557.7854731094509,0.016364678503496093,2935.180176226844,0.0,0.41309612670417284,0.24465275778223555,0.24657470148213473,0.30207744457234526
1000000.0,1000000.0,15399999.999999998,1800.0,0.0,16000000.0,0.30864197530864196,4.444444444444444,641.4020920163542,595.401688992298,0.0181059070204859,2147.0466035090008,0.0,0.44288290436080635,0.28207403046820506,0.2759689677577844,0.3474552939231945
1000000.0,1000000.0,15399999.999999998,2200.0,0.0,16000000.0,0.2066115702479339,2.9752066115702474,686.1266965020817,630.3381934822614,0.019083821813307738,2657.3014929155806,0.0,0.463797878550861,0.3090512914044875,0.29801325016460406,0.38054365104018073
1000000.0,1000000.0,15399999.999999998,2600.0,0.0,16000000.0,0.14792899408284024,2.130177514792899,728.3093534842828,663.2772172122969,0.01951757047370882,3341.142522565701,0.0,0.4796682205358824,0.32988000021977526,0.315767184565261,0.4064909869672273
1000000.0,1000000.0,15399999.999999998,3000.0,0.0,16000000.0,0.1111111111111111,1.5999999999999999,768.5877336760376,695.2529226417473,0.019712538704844976,2399.809795402884,0.0,0.49152427649316577,0.34445285160757416,0.3290965865518246,0.4254359616399979
1000000.0,1000000.0,20200000.0,1000.0,0.0,16000000.0,1.0,19.2,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,20200000.0,1400.0,0.0,16000000.0,0.5102040816326531,9.795918367346939,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,20200000.0,1800.0,0.0,16000000.0,0.30864197530864196,5.925925925925926,655.5671124923149,597.7963365130475,0.01453181917174615,1982.9760074379049,0.0,0.4786959782371713,0.3358271037003096,0.31225087502651966,0.40527707536588664
1000000.0,1000000.0,20200000.0,2200.0,0.0,16000000.0,0.2066115702479339,3.9669421487603307,698.3079964152171,627.5971153135812,0.014522313867829659,1932.0319264284833,0.0,0.5015773817793389,0.3715185096723542,0.340221293708776,0.44646528882599135
1000000.0,1000000.0,20200000.0,2600.0,0.0,16000000.0,0.14792899408284024,2.8402366863905324,738.4164195577058,655.3833610369987,0.013868245624650355,1803.8044579606346,0.0,0.5190454785657783,0.3994934385311045,0.3631633484249106,0.4789984364471903
1000000.0,1000000.0,20200000.0,3000.0,0.0,16000000.0,0.1111111111111111,2.1333333333333333,776.5347201855863,682.1164897779232,0.012914553816328533,1901.0539040585459,0.0,0.5324017793525184,0.4203762420830001,0.38146339196161005,0.503794471052703
1000000.0,1000000.0,25000000.0,1000.0,0.0,16000000.0,1.0,24.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,25000000.0,1400.0,0.0,16000000.0,0.5102040816326531,12.244897959183673,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,25000000.0,1800.0,0.0,16000000.0,0.30864197530864196,7.407407407407407,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,1000000.0,25000000.0,2200.0,0.0,16000000.0,0.2066115702479339,4.958677685950414,710.6008099021424,628.2577591362073,0.010756712267743081,1624.0052181022445,0.0,0.5274418045644113,0.4142176400174734,0.36913052167803534,0.49110268206059193
1000000.0,1000000.0,25000000.0,2600.0,0.0,16000000.0,0.14792899408284024,3.5502958579881656,749.4450287821868,652.6139578811054,0.009119055496041605,1605.3415152496027,0.0,0.545745504831576,0.44621990272274414,0.3950715444168881,0.5270720018497609
1000000.0,1000000.0,25000000.0,3000.0,0.0,16000000.0,0.1111111111111111,2.6666666666666665,786.2499082934473,675.4732236330387,0.006914725990544324,1462.8326638891674,0.0,0.5607211635367326,0.4719063001169917,0.4172070367207393,0.5561789634231517
1000000.0,5800000.0,1000000.0,1000.0,-2400000.0,92800000.0,1.0,-4.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,1000000.0,1400.0,-2400000.0,92800000.0,0.5102040816326531,-2.4489795918367347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,1000000.0,1800.0,-2400000.0,92800000.0,0.30864197530864196,-1.4814814814814814,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,1000000.0,2200.0,-2400000.0,92800000.0,0.2066115702479339,-0.9917355371900827,3667.225542558898,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,1000000.0,2600.0,-2400000.0,92800000.0,0.14792899408284024,-0.7100591715976331,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,1000000.0,3000.0,-2400000.0,92800000.0,0.1111111111111111,-0.5333333333333333,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,5800000.0,1000.0,-2400000.0,92800000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,5800000.0,1400.0,-2400000.0,92800000.0,0.5102040816326531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,5800000.0,1800.0,-2400000.0,92800000.0,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,5800000.0,2200.0,-2400000.0,92800000.0,0.2066115702479339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,5800000.0,2600.0,-2400000.0,92800000.0,0.14792899408284024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,5800000.0,3000.0,-2400000.0,92800000.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,10600000.0,1000.0,-2400000.0,92800000.0,1.0,4.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,10600000.0,1400.0,-2400000.0,92800000.0,0.5102040816326531,2.4489795918367347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,10600000.0,1800.0,-2400000.0,92800000.0,0.30864197530864196,1.4814814814814814,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,10600000.0,2200.0,-2400000.0,92800000.0,0.2066115702479339,0.9917355371900827,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,10600000.0,2600.0,-2400000.0,92800000.0,0.14792899408284024,0.7100591715976331,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000000.0,5800000.0,10600000.0,3000.0,-2400000.0,92800000.0,0.1111111111111111,0.5333333333333333,1026.7518492894544,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
